ID,Procedure,Description,MapLayers,UnitID
TOT_WB5100_JUL,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_JAN,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for January,TO BE DETERMINED,millimeters
TOT_WB5100_FEB,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_DEC,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_AUG,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_APR,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_ANN,TO BE DETERMINED,50 year (1951-2000) average annual runoff (mm) from McCabe and Wolock's Runoff Model,TO BE DETERMINED,millimeters
TOT_WATER,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_VOLC_QTZ,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_VOLC_OTH,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_TWI,TO BE DETERMINED,"Topographic wetness index, ln(a/S); where ""ln"" is the natural log, ""a"" is the upslope area per unit contour length and ""S"" is the slope at that point",TO BE DETERMINED,ln(m)
TOT_TOTAL_ROAD_DENS,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_TMIN7100,TO BE DETERMINED,30 year (1971 - 2000) minimum mean annual temperature (Celsius)  from 800m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TMAX7100,TO BE DETERMINED,30 year (1971 - 2000) minimum mean annual temperature (Celsius)  from 800m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TILES92,TO BE DETERMINED,Percent of watershed subjected to tile drains for the year 1992,TO BE DETERMINED,percent
TOT_TAV7100_SEP,TO BE DETERMINED,30 year (1971 - 2000) mean September temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_OCT,TO BE DETERMINED,30 year (1971 - 2000) mean October temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_NOV,TO BE DETERMINED,30 year (1971 - 2000) mean November temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_MAY,TO BE DETERMINED,30 year (1971 - 2000) mean May temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_MAR,TO BE DETERMINED,30 year (1971 - 2000) mean March temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_JUN,TO BE DETERMINED,30 year (1971 - 2000) mean June temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_JUL,TO BE DETERMINED,30 year (1971 - 2000) mean July temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_JAN,TO BE DETERMINED,30 year (1971 - 2000) mean January temperature (deg C) from 800m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_FEB,TO BE DETERMINED,30 year (1971 - 2000) mean February temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_DEC,TO BE DETERMINED,30 year (1971 - 2000) mean December temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_AUG,TO BE DETERMINED,30 year (1971 - 2000) mean August temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_APR,TO BE DETERMINED,30 year (1971 - 2000) mean April temperature (deg C) from 800 m PRISM data,TO BE DETERMINED,degrees Celsius
TOT_TAV7100_ANN,TO BE DETERMINED,Mean annual air temperature (degrees Celsius) from 800m PRISM data. 30 year period of record 1971-2000.,TO BE DETERMINED,degrees Celsius
TOT_SWAMPMARSH,TO BE DETERMINED,Swamp or Marsh,TO BE DETERMINED,percent
TOT_STRM_DENS,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_STREAM_SLOPE,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_SRL55AG,TO BE DETERMINED,Estimated percent of Soil Restrictive layer at the 55 cm depth,TO BE DETERMINED,percent
TOT_SRL45AG,TO BE DETERMINED,Estimated percent of Soil Restrictive layer at the 45 cm depth,TO BE DETERMINED,percent
TOT_SRL35AG,TO BE DETERMINED,Estimated percent of Soil Restrictive layer at the 35 cm depth,TO BE DETERMINED,percent
TOT_SRL25AG,TO BE DETERMINED,Estimated percent of Soil Restrictive layer at the 25 cm depth,TO BE DETERMINED,percent
TOT_sinuosity,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_SILTAVE,TO BE DETERMINED,Average value of silt ave,TO BE DETERMINED,percent
TOT_SENAY_AET,TO BE DETERMINED,Mean annual actual evapotranspiration (AET) (mm/yr) from 1 kilometer based on values from Gabriel Senay's work for the Water Census for 2012,TO BE DETERMINED,millimeters
TOT_SATOF,TO BE DETERMINED,Percentage of Dunne overland flow as a percent,TO BE DETERMINED,percent of total stream flow
TOT_SANDAVE,TO BE DETERMINED,Average value of sand content,TO BE DETERMINED,percent
TOT_SALINAVE,TO BE DETERMINED,Salinty measured as average millimhos per centimeter,TO BE DETERMINED,millimhos/centimeter
TOT_S1830,TO BE DETERMINED,Bridle Path,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1820,TO BE DETERMINED,Bike Path or Trail,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1780,TO BE DETERMINED,Parking Lot Road,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1750,TO BE DETERMINED,Internal U.S. Census Bureau use,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1740,TO BE DETERMINED,"Private Road for service vehicles (logging, oil fields, ranches, etc.)",TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1730,TO BE DETERMINED,Alley,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1720,TO BE DETERMINED,Stairway,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1710,TO BE DETERMINED,Walkway/Pedestrian Trail,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1640,TO BE DETERMINED,Service Drive usually along a limited access highway,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1630,TO BE DETERMINED,Ramp,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1500,TO BE DETERMINED,Vehicular Trail (4WD),TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1400,TO BE DETERMINED,"Local Neighborhood Road, Rural Road, City Street",TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1200,TO BE DETERMINED,Secondary Road,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_S1100,TO BE DETERMINED,Primary Road,TO BE DETERMINED,kilometer roads/sq kilometer
TOT_RUN7100,TO BE DETERMINED,30 year (1971-2000) average runoff (streamflow per unit area) from Brakebill et al. representing the combined effects of human and natural factors,TO BE DETERMINED,millimeters
TOT_ROCKDEP,TO BE DETERMINED,Average value of total soil thickness examined,TO BE DETERMINED,inches
TOT_RH,TO BE DETERMINED,"Watershed average relative humidity (percent), from 2 km PRISM, derived from 30 years of record (1961-1990).",TO BE DETERMINED,percent
TOT_RFACT,TO BE DETERMINED,"Rainfall and Runoff factor (""R factor"" of Universal Soil Loss Equation); average annual value for period 1971-2000",TO BE DETERMINED,100s ft-tonf in/h/ac/yr
TOT_RESERVOIR,TO BE DETERMINED,Reservoir,TO BE DETERMINED,percent
TOT_RECHG,TO BE DETERMINED,Mean annual natural ground-water recharge in millimeters per year,TO BE DETERMINED,meters
TOT_RDX,TO BE DETERMINED,Number of Road and Stream crossings based on 2013 Tiger road files,TO BE DETERMINED,number of road and stream crossings
TOT_PRSNOW,TO BE DETERMINED,"Snow percent of total precipitation estimate, mean for period 1901-2000. From McCabe and Wolock (submitted, 2008), 1 km grid.",TO BE DETERMINED,percent
TOT_PPT7100_SEP,TO BE DETERMINED,30 year (1971 - 2000) mean September precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_OCT,TO BE DETERMINED,30 year (1971 - 2000) mean October precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_NOV,TO BE DETERMINED,30 year (1971 - 2000) mean November precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_MAY,TO BE DETERMINED,30 year (1971 - 2000) mean May precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_MAR,TO BE DETERMINED,30 year (1971 - 2000) mean March precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_JUN,TO BE DETERMINED,30 year (1971 - 2000) mean June precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_JUL,TO BE DETERMINED,30 year (1971 - 2000) mean July precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_JAN,TO BE DETERMINED,30 year (1971 - 2000) mean January precipitation (mm) from 800m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_FEB,TO BE DETERMINED,30 year (1971 - 2000) mean February precipitation (mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_DEC,TO BE DETERMINED,30 year (1971 - 2000) mean December precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_AUG,TO BE DETERMINED,30 year (1971 - 2000) mean August precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_APR,TO BE DETERMINED,30 year (1971 - 2000) mean April precipitation(mm) from 800 m PRISM data,TO BE DETERMINED,millimeters
TOT_PPT7100_ANN,TO BE DETERMINED,Mean annual precipitation (mm) from 800m PRISM data. 30 year period of record 1971-2000.,TO BE DETERMINED,millimeters
TOT_POPDENS90,TO BE DETERMINED,"Population density in the watershed, persons per sq km, from 1990 Census block data regridded to 100m.",TO BE DETERMINED,persons per square kilometer
TOT_POPDENS10,TO BE DETERMINED,"Population density in the watershed, persons per sq km, from 2010 Census block data regridded to 100m.",TO BE DETERMINED,persons per square kilometer
TOT_POPDENS00,TO BE DETERMINED,"Population density in the watershed, persons per sq km, from 2000 Census block data regridded to 100m.",TO BE DETERMINED,persons per square kilometer
TOT_PLUT_QTZ,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_PLUT_OTH,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_PLAYA,TO BE DETERMINED,Playa,TO BE DETERMINED,percent
TOT_PHYSIO_AREA,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_PHYSIO_9,TO BE DETERMINED,New England,TO BE DETERMINED,percent
TOT_PHYSIO_8,TO BE DETERMINED,Appalachian Plateaus,TO BE DETERMINED,percent
TOT_PHYSIO_7,TO BE DETERMINED,St. Lawrence Valley,TO BE DETERMINED,percent
TOT_PHYSIO_6,TO BE DETERMINED,Valley And Ridge,TO BE DETERMINED,percent
TOT_PHYSIO_5,TO BE DETERMINED,Blue Ridge,TO BE DETERMINED,percent
TOT_PHYSIO_4,TO BE DETERMINED,Piedmont,TO BE DETERMINED,percent
TOT_PHYSIO_3,TO BE DETERMINED,Coastal Plain,TO BE DETERMINED,percent
TOT_PHYSIO_25,TO BE DETERMINED,Lower Californian,TO BE DETERMINED,percent
TOT_PHYSIO_24,TO BE DETERMINED,Pacific Border,TO BE DETERMINED,percent
TOT_PHYSIO_23,TO BE DETERMINED,Cascade-Sierra Mountains,TO BE DETERMINED,percent
TOT_PHYSIO_22,TO BE DETERMINED,Basin And Range,TO BE DETERMINED,percent
TOT_PHYSIO_21,TO BE DETERMINED,Colorado Plateaus,TO BE DETERMINED,percent
TOT_PHYSIO_20,TO BE DETERMINED,Columbia Plateau,TO BE DETERMINED,percent
TOT_PHYSIO_19,TO BE DETERMINED,Northern Rocky Mountains,TO BE DETERMINED,percent
TOT_PHYSIO_18,TO BE DETERMINED,Middle Rocky Mountains,TO BE DETERMINED,percent
TOT_PHYSIO_17,TO BE DETERMINED,Wyoming Basin,TO BE DETERMINED,percent
TOT_PHYSIO_16,TO BE DETERMINED,Southern Rocky Mountains,TO BE DETERMINED,percent
TOT_PHYSIO_15,TO BE DETERMINED,Ouachita,TO BE DETERMINED,percent
TOT_PHYSIO_14,TO BE DETERMINED,Ozark Plateaus,TO BE DETERMINED,percent
TOT_PHYSIO_13,TO BE DETERMINED,Great Plains,TO BE DETERMINED,percent
TOT_PHYSIO_12,TO BE DETERMINED,Central Lowland,TO BE DETERMINED,percent
TOT_PHYSIO_11,TO BE DETERMINED,Interior Low Plateaus,TO BE DETERMINED,percent
TOT_PHYSIO_10,TO BE DETERMINED,Adirondack,TO BE DETERMINED,percent
TOT_PHYSIO_1,TO BE DETERMINED,Superior Upland,TO BE DETERMINED,percent
TOT_PHYSIO_0,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_PEST219,TO BE DETERMINED,"Estimate of agricultural pesticide application (219 types), kg/sq km, from Census of Ag 1997, based on county-wide sales and percent agricultural land cover in watershed",TO BE DETERMINED,kg/sq km
TOT_PERMAVE,TO BE DETERMINED,Average permeability,TO BE DETERMINED,inches/hour
TOT_P97,TO BE DETERMINED,"Estimate of phosphorous from fertilizer and manure, from Census of Ag 1997 and AAPFCO",TO BE DETERMINED,kg/km2
TOT_OM,TO BE DETERMINED,Average value of organic matter content (percent by weight),TO BE DETERMINED,percent
TOT_OLSON_UCS,TO BE DETERMINED,Rock Uniaxial Compressive Strength Based on Olson Geology Types,TO BE DETERMINED,percent
TOT_OLSON_SI,TO BE DETERMINED,Rock silicon dioxide concentration as a percent. ,TO BE DETERMINED,percent
TOT_OLSON_S,TO BE DETERMINED,Rock sulfur concentration as a percent. ,TO BE DETERMINED,percent
TOT_OLSON_PERM,TO BE DETERMINED,Rock hydraulic conductivity (10^-6 m/s). ,TO BE DETERMINED,10^-6 m/s
TOT_OLSON_P,TO BE DETERMINED,Rock phosphorus concentration as a percent. ,TO BE DETERMINED,percent
TOT_OLSON_MGO,TO BE DETERMINED,Rock magnesium oxide concentration as a percent. ,TO BE DETERMINED,percent
TOT_OLSON_K,TO BE DETERMINED,Rock potassium oxide concentration as a percent.,TO BE DETERMINED,percent
TOT_OLSON_FE,TO BE DETERMINED,Rock iron oxide concentration as a percent. ,TO BE DETERMINED,percent
TOT_OLSON_CAO,TO BE DETERMINED,Rock calcium oxide concentration as a percent. ,TO BE DETERMINED,percent
TOT_NWALT92_60,TO BE DETERMINED,"Very Low Use, Conservation - Areas in GAP status 1 in Protected Areas Database Conservation Biology Institute Edition V2 (for example, National Wild- life Refuges, National Parks, Wilderness Areas, and National Preserves). Does not include lands in the USDA Conservation Reserve Program. Very low human usage.",TO BE DETERMINED,percent
TOT_NWALT92_50,TO BE DETERMINED,"Low Use - No obvious indication of anthropogenic influence, and not in active GAP status 1 conservation (class 60). May have a lower protection status (GAP class 2-3).",TO BE DETERMINED,percent
TOT_NWALT92_45,TO BE DETERMINED,"Grazing Potential - Areas of good grazing potential beyond what is indicated by the NLCD. Information suggests the land could and has been used at least on a seasonal or occasional basis for animal grazing, including woodland pasture. Based on physical parameters and agreement from other land cover datasets:  Pixel is within 1 km of water body or within 500 m of a streamline; slope <30 percent; was in a pasture/hay class in both the NLCDe 1992 and the Crop Data Layer 2009; hden <124; is not on a military base, protected national park, or similar unlikely grazing area; and would other- wise be in class 50.",TO BE DETERMINED,percent
TOT_NWALT92_44,TO BE DETERMINED,"Pasture/Hay - Areas of grasses, legumes, or grass-legume mixtures planted for live- stock grazing or the production of seed or hay crops, typically on a perennial cycle. Identical definition to NLCD 2011 class 81.",TO BE DETERMINED,percent
TOT_NWALT92_43,TO BE DETERMINED,"Crops - Areas used for the production of crops, such as corn, soybeans, wheat, vegetables, or  cotton, as well as perennial woody crops such as orchards and vineyards. Includes cultivated crops, row crops, small grains, and fallow fields. Identical definition to NLCD 2011 class 82.",TO BE DETERMINED,percent
TOT_NWALT92_41,TO BE DETERMINED,"Mining/Extraction - Barren areas due to probable surface mining/mineral extraction. Includes mining, quarries, sand and gravel operations, and energy operations.",TO BE DETERMINED,percent
TOT_NWALT92_33,TO BE DETERMINED,"Anthropogenic Other - Miscellaneous non-residential urban uses not captured by the NLCD as Developed and likely to have a persistent presence throughout every year of this dataset (see text). Primarily barren or low-vegetation areas associated with industrial, transportation, or recreation uses (for example, landfills or beaches). Probable low-medium anthropogenic influence related to non-residential activities.",TO BE DETERMINED,percent
TOT_NWALT92_32,TO BE DETERMINED,"Urban Interface Low Medium - Land not in a Developed or Production land use, but in a near-urban (suburban, ex-urban) area (hden 16-500 units/km2). Probable low- medium anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT92_31,TO BE DETERMINED,"Urban Interface High - Land not in a Developed or Production land use, but in an urban area (hden >500 or in or near an urban core area). Probable medium- high anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT92_27,TO BE DETERMINED,"Developed, Other - Low-density developed areas (hden <16) and not classifiable in any other class. Primarily low-density residential, rural roads, or vacant land.",TO BE DETERMINED,percent
TOT_NWALT92_26,TO BE DETERMINED,"Residential, Low-Medium Density - Primarily residential development, with hden 16-500 units/km2.",TO BE DETERMINED,percent
TOT_NWALT92_25,TO BE DETERMINED,"Residential, High Density - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT92_24,TO BE DETERMINED,"Recreation - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT92_23,TO BE DETERMINED,"Industrial/Military - Industrial and military. Includes heavy and light industry, seaports/ harbors, manufacturing, mills/factories, utilities, waste/recycling/ landfills, energy production, warehousing/distribution, water- management features, major communication facilities, and military bases.",TO BE DETERMINED,percent
TOT_NWALT92_22,TO BE DETERMINED,"Commercial/Services - Commercial and services. Includes retail stores, shopping centers, office buildings, commercial zones, professional services and organizations, universities, schools, hospitals, churches, prisons, police and fire stations, and so on. May include areas of extensive commercial use where identifiable, such as nurseries or vehicle yards.",TO BE DETERMINED,percent
TOT_NWALT92_21,TO BE DETERMINED,"Major Transportation - Major roads, rail, and airports, along with their associated facilities. Major roads are those equivalent to Department of Transportation function classes 1-3. At the spatial resolution of this dataset, road pixels usually incorporate some adjacent development, and in urban areas, they typically include commercial uses. Minor roads are considered an integral part of other land uses; for example, res- idential neighborhood roads are a part of the Residential classes.",TO BE DETERMINED,percent
TOT_NWALT92_12,TO BE DETERMINED,"Wetlands - Core wetlands class that does not change between years and is based on agreement of wetlands from three sources/periods: The NLCD 1992, NLCD 2001, and NLCD 2011.",TO BE DETERMINED,percent
TOT_NWALT92_11,TO BE DETERMINED,"Water - Streams, rivers, lakes, ponds, bays, and estuaries.",TO BE DETERMINED,percent
TOT_NWALT82_60,TO BE DETERMINED,"Very Low Use, Conservation - Areas in GAP status 1 in Protected Areas Database Conservation Biology Institute Edition V2 (for example, National Wild- life Refuges, National Parks, Wilderness Areas, and National Preserves). Does not include lands in the USDA Conservation Reserve Program. Very low human usage.",TO BE DETERMINED,percent
TOT_NWALT82_50,TO BE DETERMINED,"Low Use - No obvious indication of anthropogenic influence, and not in active GAP status 1 conservation (class 60). May have a lower protection status (GAP class 2-3).",TO BE DETERMINED,percent
TOT_NWALT82_45,TO BE DETERMINED,"Grazing Potential - Areas of good grazing potential beyond what is indicated by the NLCD. Information suggests the land could and has been used at least on a seasonal or occasional basis for animal grazing, including woodland pasture. Based on physical parameters and agreement from other land cover datasets:  Pixel is within 1 km of water body or within 500 m of a streamline; slope <30 percent; was in a pasture/hay class in both the NLCDe 1992 and the Crop Data Layer 2009; hden <124; is not on a military base, protected national park, or similar unlikely grazing area; and would other- wise be in class 50.",TO BE DETERMINED,percent
TOT_NWALT82_44,TO BE DETERMINED,"Pasture/Hay - Areas of grasses, legumes, or grass-legume mixtures planted for live- stock grazing or the production of seed or hay crops, typically on a perennial cycle. Identical definition to NLCD 2011 class 81.",TO BE DETERMINED,percent
TOT_NWALT82_43,TO BE DETERMINED,"Crops - Areas used for the production of crops, such as corn, soybeans, wheat, vegetables, or  cotton, as well as perennial woody crops such as orchards and vineyards. Includes cultivated crops, row crops, small grains, and fallow fields. Identical definition to NLCD 2011 class 82.",TO BE DETERMINED,percent
TOT_NWALT82_41,TO BE DETERMINED,"Mining/Extraction - Barren areas due to probable surface mining/mineral extraction. Includes mining, quarries, sand and gravel operations, and energy operations.",TO BE DETERMINED,percent
TOT_NWALT82_33,TO BE DETERMINED,"Anthropogenic Other - Miscellaneous non-residential urban uses not captured by the NLCD as Developed and likely to have a persistent presence throughout every year of this dataset (see text). Primarily barren or low-vegetation areas associated with industrial, transportation, or recreation uses (for example, landfills or beaches). Probable low-medium anthropogenic influence related to non-residential activities.",TO BE DETERMINED,percent
TOT_NWALT82_32,TO BE DETERMINED,"Urban Interface Low Medium - Land not in a Developed or Production land use, but in a near-urban (suburban, ex-urban) area (hden 16-500 units/km2). Probable low- medium anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT82_31,TO BE DETERMINED,"Urban Interface High - Land not in a Developed or Production land use, but in an urban area (hden >500 or in or near an urban core area). Probable medium- high anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT82_27,TO BE DETERMINED,"Developed, Other - Low-density developed areas (hden <16) and not classifiable in any other class. Primarily low-density residential, rural roads, or vacant land.",TO BE DETERMINED,percent
TOT_NWALT82_26,TO BE DETERMINED,"Residential, Low-Medium Density - Primarily residential development, with hden 16-500 units/km2.",TO BE DETERMINED,percent
TOT_NWALT82_25,TO BE DETERMINED,"Residential, High Density - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
